0.000001 0.000016
0.000001 0.000010
0.000003 0.000014
0.000004 0.000019
0.000004 0.000023
0.000005 0.000029
0.000005 0.000032
0.000006 0.000035
0.000007 0.000041
0.000007 0.000046
0.000009 0.000049
0.000009 0.000055
0.000010 0.000060
0.000010 0.000063
0.000011 0.000065
0.000011 0.000069
0.000012 0.000073
0.000013 0.000078
0.000014 0.000086
0.000014 0.000090
0.000015 0.000095
0.000016 0.000147
0.000016 0.000104
0.000017 0.000103
0.000017 0.000140
0.000019 0.000148
0.000019 0.000415
0.000021 0.000130
0.000034 0.000220
0.000021 0.000136
0.000082 0.000227
0.000041 0.000282
0.000021 0.000129
0.000021 0.000133
0.000027 0.000162
0.000027 0.000173
0.000025 0.000148
0.000029 0.000156
0.000028 0.000177
0.000029 0.000183
0.000029 0.000224
0.000033 0.000265
0.000032 0.000199
0.000053 0.000333
0.000031 0.000250
0.000051 0.000500
0.000032 0.000186
0.000033 0.000291
0.000037 0.000223
0.000321 0.000494
0.000036 0.000198
0.000042 0.000284
0.000038 0.000221
0.000040 0.000283
0.000041 0.000299
0.000041 0.000310
0.000041 0.000258
0.000044 0.000251
0.000037 0.000230
0.000038 0.000324
0.000038 0.000237
0.000050 0.000275
0.000051 0.000383
0.000042 0.000252
0.000040 0.000258
0.000045 0.000279
0.000049 0.000336
0.000043 0.000266
0.000065 0.000316
0.000057 0.000347
0.000056 0.000535
0.000193 0.000560
0.000081 0.000523
0.000079 0.000402
0.000058 0.000383
0.000059 0.000397
0.000070 0.000483
0.000090 0.000396
0.000064 0.000383
0.000049 0.000408
0.000050 0.000315
0.000051 0.000320
0.000051 0.000324
0.000052 0.000329
0.000053 0.000330
0.000053 0.000334
0.000054 0.000391
0.000106 0.000622
0.000071 0.000347
0.000061 0.000364
0.000056 0.000390
0.000058 0.000359
0.000058 0.000368
0.000059 0.000365
0.000068 0.000398
0.000068 0.000449
0.000060 0.000378
0.000061 0.000385
0.000062 0.000383
